date,time,temperature,humidity,pressure
27/02/2016,00:00:04,30.7,27.3,999.6
27/02/2016,00:01:05,30.7,27.6,999.6
27/02/2016,00:02:04,30.3,27.9,999.6
27/02/2016,00:03:04,30.7,27.5,999.6
27/02/2016,00:04:05,30.5,27.8,999.5
27/02/2016,00:05:04,30.6,28.1,999.5
27/02/2016,00:06:04,30.7,27.9,999.5
27/02/2016,00:07:05,30.8,27.7,999.4
27/02/2016,00:08:04,30.8,27.4,999.4
27/02/2016,00:09:04,30.6,27.7,999.5
27/02/2016,00:10:04,30.8,28.0,999.4
27/02/2016,00:11:04,30.5,28.3,999.5
27/02/2016,00:12:04,30.5,28.2,999.5
27/02/2016,00:13:04,30.5,27.9,999.4
27/02/2016,00:14:04,30.6,27.8,999.4
27/02/2016,00:15:05,30.8,27.7,999.4
27/02/2016,00:16:04,30.7,27.7,999.4
27/02/2016,00:17:04,30.7,27.7,999.4
27/02/2016,00:18:05,30.7,27.8,999.5
27/02/2016,00:19:04,30.7,28.0,999.5
27/02/2016,00:20:04,30.7,28.2,999.4
27/02/2016,00:21:05,30.8,28.2,999.4
27/02/2016,00:22:04,30.8,28.0,999.4
27/02/2016,00:23:04,30.8,27.9,999.4
27/02/2016,00:24:05,30.7,27.8,999.4
27/02/2016,00:25:04,30.7,28.1,999.5
27/02/2016,00:26:04,30.6,27.8,999.4
27/02/2016,00:27:05,30.7,27.5,999.5
27/02/2016,00:28:04,30.9,27.6,999.5
27/02/2016,00:29:04,30.8,27.7,999.4
27/02/2016,00:30:04,30.8,27.5,999.4
27/02/2016,00:31:04,30.8,27.7,999.4
27/02/2016,00:32:04,30.7,28.2,999.4
27/02/2016,00:33:04,30.7,27.7,999.4
27/02/2016,00:34:04,30.7,28.0,999.4
27/02/2016,00:35:04,30.8,28.2,999.3
27/02/2016,00:36:04,30.8,27.5,999.3
27/02/2016,00:37:04,30.6,28.0,999.3
27/02/2016,00:38:05,30.6,28.3,999.3
27/02/2016,00:39:04,30.5,28.1,999.3
27/02/2016,00:40:04,30.4,28.5,999.3
27/02/2016,00:41:05,30.6,28.4,999.3
27/02/2016,00:42:04,30.5,28.1,999.3
27/02/2016,00:43:04,30.5,28.0,999.3
27/02/2016,00:44:05,30.4,28.5,999.3
27/02/2016,00:45:04,30.3,28.2,999.3
27/02/2016,00:46:04,30.3,28.0,999.2
27/02/2016,00:47:04,30.2,28.2,999.2
27/02/2016,00:48:04,30.4,28.3,999.2
27/02/2016,00:49:04,30.3,28.3,999.2
27/02/2016,00:50:04,30.3,28.2,999.2
27/02/2016,00:51:04,30.4,28.2,999.2
27/02/2016,00:52:04,30.3,27.9,999.2
27/02/2016,00:53:04,30.3,28.1,999.2
27/02/2016,00:54:04,30.2,27.9,999.2
27/02/2016,00:55:05,30.4,28.1,999.2
27/02/2016,00:56:04,30.4,28.0,999.2
27/02/2016,00:57:04,30.4,27.6,999.2
27/02/2016,00:58:05,30.3,28.1,999.2
27/02/2016,00:59:04,30.4,27.6,999.2
27/02/2016,01:00:04,30.3,28.1,999.2
27/02/2016,01:01:05,30.3,28.2,999.1
27/02/2016,01:02:04,30.3,28.1,999.1
27/02/2016,01:03:04,30.3,28.4,999.2
27/02/2016,01:04:04,30.2,28.1,999.1
27/02/2016,01:05:04,30.3,27.8,999.1
27/02/2016,01:06:04,30.2,28.4,999.1
27/02/2016,01:07:04,30.1,28.4,999.1
27/02/2016,01:08:04,30.1,28.3,999.1
27/02/2016,01:09:04,30.1,28.4,999.1
27/02/2016,01:10:04,30.1,28.1,999.1
27/02/2016,01:11:04,30.1,28.4,999.1
27/02/2016,01:12:05,30.0,28.6,999.1
27/02/2016,01:13:04,30.1,28.3,999.1
27/02/2016,01:14:04,30.1,27.9,999.1
27/02/2016,01:15:05,30.0,28.5,999.0
27/02/2016,01:16:04,30.1,28.4,999.0
27/02/2016,01:17:04,30.1,28.5,999.0
27/02/2016,01:18:05,30.1,28.5,999.0
27/02/2016,01:19:04,30.1,28.6,999.0
27/02/2016,01:20:04,30.0,28.2,998.9
27/02/2016,01:21:05,30.1,28.8,998.9
27/02/2016,01:22:04,30.0,28.9,999.0
27/02/2016,01:23:04,30.1,28.4,998.9
27/02/2016,01:24:04,30.0,28.5,998.9
27/02/2016,01:25:04,30.0,28.7,998.9
27/02/2016,01:26:04,30.0,28.7,998.8
27/02/2016,01:27:04,30.1,28.4,998.9
27/02/2016,01:28:04,30.0,28.8,998.9
27/02/2016,01:29:05,30.0,28.6,998.8
27/02/2016,01:30:04,30.1,28.7,998.8
27/02/2016,01:31:04,30.2,29.0,998.8
27/02/2016,01:32:05,30.2,29.0,998.8
27/02/2016,01:33:04,30.3,28.6,998.8
27/02/2016,01:34:04,30.1,28.8,998.8
27/02/2016,01:35:05,30.1,29.1,998.7
27/02/2016,01:36:04,30.1,28.7,998.8
27/02/2016,01:37:04,30.2,28.4,998.8
