date,time,temperature,humidity
22/01/2016,00:00:04,28.0,31.2
22/01/2016,00:01:03,28.0,31.5
22/01/2016,00:02:03,27.9,31.3
22/01/2016,00:03:04,27.9,31.2
22/01/2016,00:04:03,27.9,31.4
22/01/2016,00:05:03,28.0,31.4
22/01/2016,00:06:04,27.8,31.1
22/01/2016,00:07:03,28.0,31.5
22/01/2016,00:08:03,27.9,31.1
22/01/2016,00:09:04,28.0,31.4
22/01/2016,00:10:03,27.9,31.5
22/01/2016,00:11:03,28.0,31.0
22/01/2016,00:12:03,28.1,31.5
22/01/2016,00:13:03,28.0,31.5
22/01/2016,00:14:03,28.0,31.7
22/01/2016,00:15:03,28.1,31.3
22/01/2016,00:16:03,28.0,31.4
22/01/2016,00:17:04,28.1,31.5
22/01/2016,00:18:03,28.1,31.5
22/01/2016,00:19:03,28.0,31.9
22/01/2016,00:20:04,28.1,31.4
22/01/2016,00:21:03,28.0,31.6
22/01/2016,00:22:03,28.1,31.6
22/01/2016,00:23:04,28.1,31.3
22/01/2016,00:24:03,28.0,31.6
22/01/2016,00:25:03,27.9,32.1
22/01/2016,00:26:03,28.0,31.4
22/01/2016,00:27:03,27.9,31.4
22/01/2016,00:28:03,27.8,31.3
22/01/2016,00:29:03,27.9,31.9
22/01/2016,00:30:03,27.9,31.6
22/01/2016,00:31:04,27.9,31.9
22/01/2016,00:32:03,28.0,31.6
22/01/2016,00:33:03,27.8,32.0
22/01/2016,00:34:04,27.8,32.2
22/01/2016,00:35:03,27.8,31.6
22/01/2016,00:36:03,27.8,31.8
22/01/2016,00:37:04,27.7,31.9
22/01/2016,00:38:03,27.6,31.9
22/01/2016,00:39:03,27.7,31.9
22/01/2016,00:40:03,27.7,31.8
22/01/2016,00:41:03,27.7,32.4
22/01/2016,00:42:03,27.7,32.4
22/01/2016,00:43:03,27.7,32.3
22/01/2016,00:44:03,27.6,31.8
22/01/2016,00:45:03,27.7,32.2
22/01/2016,00:46:03,27.5,32.3
22/01/2016,00:47:03,27.6,32.2
22/01/2016,00:48:04,27.6,32.3
22/01/2016,00:49:03,27.6,31.9
22/01/2016,00:50:03,27.5,32.2
22/01/2016,00:51:04,27.6,32.3
22/01/2016,00:52:03,27.5,31.9
22/01/2016,00:53:03,27.5,31.8
22/01/2016,00:54:04,27.4,32.0
22/01/2016,00:55:03,27.5,32.1
22/01/2016,00:56:03,27.5,31.9
22/01/2016,00:57:04,27.5,32.0
22/01/2016,00:58:03,27.4,31.9
22/01/2016,00:59:03,27.4,31.8
22/01/2016,01:00:03,27.4,31.9
22/01/2016,01:01:03,27.4,31.8
22/01/2016,01:02:03,27.4,32.1
22/01/2016,01:03:03,27.4,32.0
22/01/2016,01:04:03,27.5,32.1
22/01/2016,01:05:03,27.5,31.7
22/01/2016,01:06:03,27.5,31.7
