date,time,temperature,humidity
20/01/2016,00:00:03,29.0,34.3
20/01/2016,00:01:03,29.0,34.1
20/01/2016,00:02:03,29.2,34.6
20/01/2016,00:03:03,29.2,34.6
20/01/2016,00:04:03,29.1,33.7
20/01/2016,00:05:03,29.0,33.7
20/01/2016,00:06:04,29.1,34.4
20/01/2016,00:07:03,29.1,33.9
20/01/2016,00:08:03,29.2,34.4
20/01/2016,00:09:04,29.1,33.9
20/01/2016,00:10:03,29.2,34.3
20/01/2016,00:11:03,29.1,33.8
20/01/2016,00:12:04,29.1,33.9
20/01/2016,00:13:03,28.9,34.0
20/01/2016,00:14:03,29.0,34.1
20/01/2016,00:15:04,28.8,33.7
20/01/2016,00:16:03,28.8,33.9
20/01/2016,00:17:03,28.8,34.4
20/01/2016,00:18:03,29.0,34.1
20/01/2016,00:19:03,29.0,33.8
20/01/2016,00:20:03,28.9,33.6
20/01/2016,00:21:03,28.9,33.8
20/01/2016,00:22:03,28.9,33.8
20/01/2016,00:23:03,28.9,33.6
20/01/2016,00:24:03,28.9,33.8
20/01/2016,00:25:03,29.0,33.7
20/01/2016,00:26:03,29.0,33.1
20/01/2016,00:27:03,29.0,33.6
20/01/2016,00:28:03,28.9,33.2
20/01/2016,00:29:04,29.0,33.9
20/01/2016,00:30:03,29.0,33.8
20/01/2016,00:31:03,29.0,33.8
20/01/2016,00:32:04,28.9,33.5
20/01/2016,00:33:03,28.8,33.7
20/01/2016,00:34:03,28.8,34.1
20/01/2016,00:35:04,28.8,34.0
20/01/2016,00:36:03,28.7,34.1
20/01/2016,00:37:03,28.8,34.1
20/01/2016,00:38:04,28.8,34.2
20/01/2016,00:39:03,28.8,34.0
20/01/2016,00:40:03,28.8,33.8
20/01/2016,00:41:03,28.8,34.1
20/01/2016,00:42:03,28.8,33.7
20/01/2016,00:43:03,28.7,33.5
20/01/2016,00:44:03,28.6,33.8
20/01/2016,00:45:03,28.7,33.8
20/01/2016,00:46:03,28.8,34.0
20/01/2016,00:47:03,28.7,33.6
20/01/2016,00:48:03,28.8,34.1
20/01/2016,00:49:03,28.8,34.0
20/01/2016,00:50:03,28.8,34.1
20/01/2016,00:51:03,28.6,33.7
20/01/2016,00:52:04,28.7,33.8
20/01/2016,00:53:03,28.8,34.6
20/01/2016,00:54:03,28.6,33.9
20/01/2016,00:55:04,28.7,33.8
20/01/2016,00:56:03,28.7,33.8
20/01/2016,00:57:03,28.6,34.0
20/01/2016,00:58:04,28.7,33.9
20/01/2016,00:59:03,28.6,34.4
20/01/2016,01:00:03,28.7,34.0
20/01/2016,01:01:04,28.6,33.8
20/01/2016,01:02:03,28.7,33.6
20/01/2016,01:03:03,28.8,34.0
20/01/2016,01:04:04,28.7,34.0
20/01/2016,01:05:03,28.7,33.6
20/01/2016,01:06:03,28.7,33.9
20/01/2016,01:07:04,28.7,33.8
20/01/2016,01:08:03,28.7,33.7
20/01/2016,01:09:03,28.8,33.9
20/01/2016,01:10:03,28.8,34.0
20/01/2016,01:11:03,28.7,33.9
20/01/2016,01:12:03,28.7,33.9
20/01/2016,01:13:03,28.7,34.0
20/01/2016,01:14:03,28.7,33.9
20/01/2016,01:15:03,28.7,33.8
20/01/2016,01:16:03,28.7,33.8
20/01/2016,01:17:03,28.8,34.3
20/01/2016,01:18:04,28.7,34.3
20/01/2016,01:19:03,28.8,34.3
20/01/2016,01:20:03,28.9,34.0
20/01/2016,01:21:04,28.9,34.3
20/01/2016,01:22:03,28.9,34.0
20/01/2016,01:23:03,29.0,34.1
20/01/2016,01:24:03,28.9,34.3
20/01/2016,01:25:03,29.0,33.8
20/01/2016,01:26:03,28.8,33.9
20/01/2016,01:27:03,28.8,34.2
20/01/2016,01:28:03,28.9,34.0
20/01/2016,01:29:03,28.8,34.3
20/01/2016,01:30:03,28.8,34.1
20/01/2016,01:31:03,28.8,33.6
20/01/2016,01:32:03,28.7,34.3
20/01/2016,01:33:03,28.7,34.3
20/01/2016,01:34:03,28.8,34.1
20/01/2016,01:35:03,28.7,34.3
20/01/2016,01:36:03,28.8,34.8
20/01/2016,01:37:03,28.7,34.2
20/01/2016,01:38:03,28.6,34.2
20/01/2016,01:39:04,28.7,33.8
20/01/2016,01:40:03,28.7,33.8
20/01/2016,01:41:03,28.7,34.4
20/01/2016,01:42:04,28.8,33.9
20/01/2016,01:43:03,28.8,33.5
20/01/2016,01:44:03,28.8,34.1
20/01/2016,01:45:04,28.8,33.8
20/01/2016,01:46:03,29.0,34.1
20/01/2016,01:47:03,29.0,33.5
20/01/2016,01:48:04,28.9,33.3
20/01/2016,01:49:03,28.8,33.8
20/01/2016,01:50:03,28.7,33.3
20/01/2016,01:51:03,28.9,33.9
20/01/2016,01:52:03,28.7,33.7
20/01/2016,01:53:03,28.9,33.2
20/01/2016,01:54:03,28.9,33.5
20/01/2016,01:55:03,28.8,33.5
20/01/2016,01:56:03,28.8,33.4
20/01/2016,01:57:03,28.9,33.8
20/01/2016,01:58:03,28.8,33.5
20/01/2016,01:59:03,28.9,33.3
20/01/2016,02:00:03,28.9,33.4
20/01/2016,02:01:03,28.8,33.6
20/01/2016,02:02:03,28.8,33.4
20/01/2016,02:03:03,28.8,33.6
20/01/2016,02:04:03,28.9,34.0
20/01/2016,02:05:03,28.9,33.4
20/01/2016,02:06:03,28.8,33.4
20/01/2016,02:07:03,28.8,33.7
20/01/2016,02:08:03,28.8,33.8
20/01/2016,02:09:04,28.8,33.2
20/01/2016,02:10:03,28.9,33.3
20/01/2016,02:11:03,29.0,33.3
20/01/2016,02:12:04,29.0,33.0
20/01/2016,02:13:03,29.0,33.0
20/01/2016,02:14:03,28.9,33.0
20/01/2016,02:15:04,28.7,33.5
20/01/2016,02:16:03,28.8,33.5
20/01/2016,02:17:03,28.9,33.3
20/01/2016,02:18:04,28.7,33.2
20/01/2016,02:19:03,28.7,33.3
20/01/2016,02:20:03,28.7,33.7
20/01/2016,02:21:04,28.8,33.2
20/01/2016,02:22:03,28.7,33.7
20/01/2016,02:23:03,28.9,33.2
20/01/2016,02:24:04,28.7,33.5
20/01/2016,02:25:03,28.8,33.4
20/01/2016,02:26:03,28.7,33.4
20/01/2016,02:27:04,28.8,33.5
20/01/2016,02:28:03,28.8,33.1
20/01/2016,02:29:03,28.8,33.1
20/01/2016,02:30:04,28.7,33.6
20/01/2016,02:31:03,28.8,33.4
20/01/2016,02:32:03,28.7,33.5
20/01/2016,02:33:04,28.6,33.3
20/01/2016,02:34:03,28.8,33.1
20/01/2016,02:35:03,28.7,33.4
20/01/2016,02:36:04,28.7,33.4
20/01/2016,02:37:03,28.8,33.4
20/01/2016,02:38:03,28.6,33.3
20/01/2016,02:39:04,28.7,33.3
20/01/2016,02:40:03,28.8,33.6
20/01/2016,02:41:03,28.8,33.1
20/01/2016,02:42:04,28.9,33.0
20/01/2016,02:43:03,29.0,32.8
20/01/2016,02:44:03,28.9,33.1
20/01/2016,02:45:04,28.9,33.1
20/01/2016,02:46:03,28.8,33.3
20/01/2016,02:47:03,28.8,33.2
20/01/2016,02:48:04,28.8,33.0
20/01/2016,02:49:03,28.7,33.0
20/01/2016,02:50:03,28.8,32.9
20/01/2016,02:51:04,28.8,33.5
20/01/2016,02:52:03,28.7,33.7
20/01/2016,02:53:03,29.0,33.3
20/01/2016,02:54:04,28.9,33.5
20/01/2016,02:55:03,28.9,33.1
20/01/2016,02:56:03,28.8,33.0
20/01/2016,02:57:04,28.8,33.4
20/01/2016,02:58:03,28.8,33.2
20/01/2016,02:59:03,29.0,32.8
