date,time,temperature,humidity
19/01/2016,08:56:35,26.7,29.4
19/01/2016,08:57:03,26.4,29.8
19/01/2016,08:58:03,26.0,30.1
19/01/2016,08:59:04,25.7,30.4
19/01/2016,09:00:03,25.8,31.5
19/01/2016,09:01:03,25.7,30.9
19/01/2016,09:02:04,25.9,30.9
19/01/2016,09:03:03,25.7,31.5
19/01/2016,09:04:03,25.5,31.8
19/01/2016,09:05:04,25.4,32.0
19/01/2016,09:06:03,25.3,31.7
19/01/2016,09:07:03,25.4,32.1
19/01/2016,09:08:03,25.5,32.0
19/01/2016,09:09:03,25.5,32.2
19/01/2016,09:10:03,25.4,32.1
19/01/2016,09:11:03,25.6,31.7
19/01/2016,09:12:03,25.5,32.1
19/01/2016,09:13:04,25.8,32.0
19/01/2016,09:14:03,25.6,32.0
19/01/2016,09:15:03,25.8,31.7
19/01/2016,09:16:04,26.0,31.4
19/01/2016,09:17:03,25.9,31.1
19/01/2016,09:18:03,26.0,31.5
19/01/2016,09:19:04,26.1,31.9
19/01/2016,09:20:03,26.0,31.5
19/01/2016,09:21:03,26.0,31.3
19/01/2016,09:22:04,25.9,31.9
19/01/2016,09:23:03,26.0,31.6
19/01/2016,09:24:03,26.0,31.7
19/01/2016,09:25:03,26.2,31.6
19/01/2016,09:26:03,26.3,31.4
19/01/2016,09:27:03,26.3,31.6
19/01/2016,09:28:03,26.4,31.6
19/01/2016,09:29:03,26.4,31.4
19/01/2016,09:30:03,26.7,31.4
19/01/2016,09:31:03,26.9,31.2
19/01/2016,09:32:03,26.8,30.9
19/01/2016,09:33:04,27.1,30.9
19/01/2016,09:34:03,27.1,30.7
19/01/2016,09:35:03,27.2,30.9
19/01/2016,09:36:04,27.2,31.8
19/01/2016,09:37:03,27.2,31.4
19/01/2016,09:38:03,27.4,31.3
19/01/2016,09:39:04,27.4,31.4
19/01/2016,09:40:03,27.5,31.9
19/01/2016,09:41:03,27.3,31.9
19/01/2016,09:42:04,27.3,32.2
19/01/2016,09:43:03,27.3,32.7
19/01/2016,09:44:03,27.2,33.2
19/01/2016,09:45:03,27.0,32.7
19/01/2016,09:46:03,27.2,33.5
19/01/2016,09:47:03,27.3,33.4
19/01/2016,09:48:03,27.5,33.4
19/01/2016,09:49:03,27.5,32.6
19/01/2016,09:50:04,27.3,33.1
19/01/2016,09:51:03,27.3,33.7
19/01/2016,09:52:04,27.3,33.7
19/01/2016,09:53:03,27.5,33.1
19/01/2016,09:54:03,27.5,32.7
19/01/2016,09:55:03,27.7,32.7
19/01/2016,09:56:03,27.7,32.8
19/01/2016,09:57:03,27.8,32.5
19/01/2016,09:58:03,28.0,31.9
19/01/2016,09:59:03,28.2,31.2
19/01/2016,10:00:03,28.3,31.2
19/01/2016,10:01:03,28.2,31.5
19/01/2016,10:02:03,28.2,31.3
19/01/2016,10:03:03,28.2,31.6
19/01/2016,10:04:03,28.1,31.4
19/01/2016,10:05:03,28.4,32.0
19/01/2016,10:06:04,28.5,31.4
19/01/2016,10:07:03,28.4,31.5
19/01/2016,10:08:03,28.5,31.3
19/01/2016,10:09:04,28.4,31.2
19/01/2016,10:10:03,28.3,31.0
19/01/2016,10:11:03,28.6,30.8
19/01/2016,10:12:04,28.6,30.8
19/01/2016,10:13:03,28.5,31.1
19/01/2016,10:14:03,28.4,31.1
19/01/2016,10:15:04,28.6,30.8
19/01/2016,10:16:03,28.6,30.5
19/01/2016,10:17:03,28.6,30.9
19/01/2016,10:18:04,28.7,31.0
19/01/2016,10:19:03,28.7,30.7
19/01/2016,10:20:03,28.7,30.5
19/01/2016,10:21:03,28.6,31.0
19/01/2016,10:22:03,28.7,30.8
19/01/2016,10:23:03,28.8,30.5
19/01/2016,10:24:03,28.6,30.8
19/01/2016,10:25:03,28.7,30.9
19/01/2016,10:26:03,28.9,31.1
19/01/2016,10:27:03,28.8,30.0
19/01/2016,10:28:03,28.8,30.2
19/01/2016,10:29:03,28.8,30.2
19/01/2016,10:30:03,28.8,30.8
19/01/2016,10:31:03,29.0,30.4
19/01/2016,10:32:03,28.9,30.3
19/01/2016,10:33:03,29.0,30.9
19/01/2016,10:34:03,29.1,30.1
19/01/2016,10:35:03,29.0,30.1
19/01/2016,10:36:03,29.0,30.5
19/01/2016,10:37:03,29.2,30.5
19/01/2016,10:38:03,29.2,30.2
19/01/2016,10:39:03,29.1,30.5
19/01/2016,10:40:03,29.1,29.7
19/01/2016,10:41:04,29.1,30.3
19/01/2016,10:42:03,29.0,30.8
19/01/2016,10:43:03,28.8,30.3
19/01/2016,10:44:04,28.8,30.3
19/01/2016,10:45:03,29.0,30.2
19/01/2016,10:46:03,29.2,30.1
19/01/2016,10:47:04,29.2,30.1
19/01/2016,10:48:03,29.1,30.4
19/01/2016,10:49:03,29.0,30.2
19/01/2016,10:50:04,29.0,30.3
19/01/2016,10:51:03,29.1,30.1
19/01/2016,10:52:03,29.0,30.3
19/01/2016,10:53:03,28.8,30.5
19/01/2016,10:54:03,28.8,29.7
19/01/2016,10:55:03,28.6,30.3
19/01/2016,10:56:03,28.6,30.6
19/01/2016,10:57:03,28.7,30.1
19/01/2016,10:58:03,28.8,30.4
19/01/2016,10:59:03,28.9,30.4
19/01/2016,11:00:03,28.8,30.3
19/01/2016,11:01:04,29.0,31.4
19/01/2016,11:02:03,29.3,30.7
19/01/2016,11:03:03,29.0,31.5
19/01/2016,11:04:04,28.9,33.3
19/01/2016,11:05:03,29.0,33.0
19/01/2016,11:06:03,28.9,32.8
19/01/2016,11:07:04,29.0,34.5
19/01/2016,11:08:03,29.1,34.9
19/01/2016,11:09:03,29.5,37.8
19/01/2016,11:10:04,29.6,35.7
19/01/2016,11:11:03,29.9,35.2
19/01/2016,11:12:03,30.0,35.4
19/01/2016,11:13:03,30.0,35.1
19/01/2016,11:14:03,30.1,35.7
19/01/2016,11:15:03,29.9,35.8
19/01/2016,11:16:03,29.7,35.2
19/01/2016,11:17:03,29.7,35.0
19/01/2016,11:18:03,29.8,35.6
19/01/2016,11:19:03,29.6,35.6
19/01/2016,11:20:03,29.4,35.7
19/01/2016,11:21:04,29.5,35.8
19/01/2016,11:22:03,29.1,35.5
19/01/2016,11:23:03,28.6,37.7
19/01/2016,11:24:04,28.8,36.3
