date,time,temperature,humidity,pressure
14/02/2016,00:00:04,23.0,38.4,989.7
14/02/2016,00:01:04,23.0,39.0,989.7
14/02/2016,00:02:04,23.0,38.6,989.7
14/02/2016,00:03:05,23.0,38.6,989.8
14/02/2016,00:04:04,23.0,38.4,989.7
14/02/2016,00:05:04,23.0,38.6,989.7
14/02/2016,00:06:05,23.1,38.9,989.7
14/02/2016,00:07:04,22.9,39.0,989.7
14/02/2016,00:08:04,22.8,39.0,989.6
14/02/2016,00:09:05,22.8,39.2,989.6
14/02/2016,00:10:04,22.8,39.1,989.6
14/02/2016,00:11:04,22.9,39.2,989.6
14/02/2016,00:12:05,22.8,39.4,989.5
14/02/2016,00:13:04,22.8,39.2,989.5
14/02/2016,00:14:04,22.8,39.2,989.5
14/02/2016,00:15:05,22.8,39.3,989.5
14/02/2016,00:16:04,22.8,39.1,989.4
14/02/2016,00:17:04,22.8,38.8,989.5
14/02/2016,00:18:04,22.8,39.2,989.5
14/02/2016,00:19:04,22.7,39.2,989.5
14/02/2016,00:20:04,22.9,39.2,989.5
14/02/2016,00:21:04,22.9,39.3,989.5
14/02/2016,00:22:04,22.7,39.0,989.6
14/02/2016,00:23:04,22.8,39.1,989.5
14/02/2016,00:24:04,22.8,39.1,989.6
14/02/2016,00:25:04,22.8,39.1,989.6
14/02/2016,00:26:04,22.9,39.0,989.6
14/02/2016,00:27:04,22.7,39.5,989.6
14/02/2016,00:28:04,22.7,39.6,989.7
14/02/2016,00:29:05,22.8,39.3,989.6
14/02/2016,00:30:04,22.8,39.3,989.6
14/02/2016,00:31:04,22.8,39.4,989.6
14/02/2016,00:32:05,22.7,39.7,989.6
14/02/2016,00:33:04,22.6,39.7,989.6
14/02/2016,00:34:04,22.8,39.3,989.6
14/02/2016,00:35:05,22.7,39.3,989.6
14/02/2016,00:36:04,22.8,39.6,989.6
14/02/2016,00:37:04,22.7,39.4,989.6
14/02/2016,00:38:04,22.7,39.5,989.7
14/02/2016,00:39:04,22.8,39.3,989.6
