date,time,temperature,humidity,pressure
28/02/2016,00:00:04,28.1,26.4,1006.7
28/02/2016,00:01:05,28.1,26.1,1006.7
28/02/2016,00:02:04,28.0,26.2,1006.7
28/02/2016,00:03:04,28.2,26.4,1006.7
28/02/2016,00:04:05,28.1,26.3,1006.7
28/02/2016,00:05:04,28.1,26.2,1006.8
28/02/2016,00:06:04,28.1,26.2,1006.8
28/02/2016,00:07:04,28.2,26.5,1006.8
28/02/2016,00:08:04,28.1,26.4,1006.8
28/02/2016,00:09:04,28.1,26.0,1006.7
28/02/2016,00:10:04,28.0,25.9,1006.8
28/02/2016,00:11:04,28.0,25.9,1006.8
28/02/2016,00:12:05,28.2,25.7,1006.8
28/02/2016,00:13:04,28.2,26.4,1006.8
28/02/2016,00:14:04,28.2,25.9,1006.8
28/02/2016,00:15:05,28.1,25.5,1006.8
28/02/2016,00:16:04,28.2,26.0,1006.9
28/02/2016,00:17:04,28.1,25.9,1006.9
28/02/2016,00:18:05,28.2,25.6,1006.9
28/02/2016,00:19:04,28.3,26.0,1006.9
28/02/2016,00:20:04,28.2,26.1,1006.9
28/02/2016,00:21:05,28.1,26.3,1007.0
28/02/2016,00:22:04,28.2,26.0,1006.9
28/02/2016,00:23:04,28.2,26.2,1006.9
28/02/2016,00:24:05,28.2,25.6,1006.9
28/02/2016,00:25:04,28.0,25.8,1006.9
28/02/2016,00:26:04,28.3,26.2,1006.9
28/02/2016,00:27:05,28.1,25.9,1007.0
28/02/2016,00:28:04,28.1,26.1,1007.0
28/02/2016,00:29:04,28.1,25.9,1007.0
28/02/2016,00:30:04,28.0,26.1,1007.0
28/02/2016,00:31:04,28.0,26.1,1007.0
28/02/2016,00:32:04,28.0,25.9,1007.0
28/02/2016,00:33:05,28.0,26.2,1007.0
28/02/2016,00:34:04,28.1,25.8,1007.0
28/02/2016,00:35:04,28.3,26.0,1007.0
28/02/2016,00:36:04,28.2,25.7,1007.0
28/02/2016,00:37:04,28.1,26.2,1007.0
28/02/2016,00:38:04,28.1,26.0,1007.0
28/02/2016,00:39:04,28.1,26.0,1007.0
28/02/2016,00:40:04,28.2,25.8,1007.1
28/02/2016,00:41:04,28.2,26.2,1007.1
28/02/2016,00:42:04,28.2,25.9,1007.1
28/02/2016,00:43:04,28.1,26.1,1007.1
28/02/2016,00:44:04,28.2,25.7,1007.1
28/02/2016,00:45:04,28.2,25.8,1007.1
28/02/2016,00:46:04,28.1,25.7,1007.1
28/02/2016,00:47:04,28.1,25.8,1007.1
28/02/2016,00:48:04,28.3,25.8,1007.1
28/02/2016,00:49:04,28.2,25.8,1007.2
28/02/2016,00:50:05,28.2,25.8,1007.2
28/02/2016,00:51:04,28.3,25.8,1007.2
28/02/2016,00:52:04,28.2,25.9,1007.2
28/02/2016,00:53:05,28.2,26.0,1007.2
28/02/2016,00:54:04,28.3,25.7,1007.2
28/02/2016,00:55:04,28.3,25.8,1007.2
28/02/2016,00:56:04,28.3,25.5,1007.2
28/02/2016,00:57:04,28.3,25.9,1007.3
28/02/2016,00:58:04,28.4,25.6,1007.2
28/02/2016,00:59:04,28.5,25.6,1007.3
28/02/2016,01:00:04,28.4,25.6,1007.2
28/02/2016,01:01:04,28.3,25.6,1007.2
28/02/2016,01:02:04,28.4,25.6,1007.3
28/02/2016,01:03:04,28.3,25.5,1007.2
28/02/2016,01:04:04,28.3,25.7,1007.2
28/02/2016,01:05:04,28.3,25.7,1007.2
28/02/2016,01:06:04,28.0,25.3,1007.2
28/02/2016,01:07:05,28.2,25.8,1007.2
28/02/2016,01:08:04,28.2,25.7,1007.2
28/02/2016,01:09:04,28.2,26.0,1007.2
28/02/2016,01:10:05,28.0,25.8,1007.2
28/02/2016,01:11:04,28.2,25.9,1007.2
28/02/2016,01:12:04,28.0,25.5,1007.2
28/02/2016,01:13:05,28.2,25.9,1007.2
28/02/2016,01:14:04,28.1,26.0,1007.2
28/02/2016,01:15:04,28.1,25.9,1007.2
28/02/2016,01:16:05,28.0,25.7,1007.2
28/02/2016,01:17:04,28.3,25.8,1007.2
28/02/2016,01:18:04,28.2,25.7,1007.2
28/02/2016,01:19:05,28.0,26.1,1007.2
28/02/2016,01:20:04,28.1,25.9,1007.2
28/02/2016,01:21:04,28.1,26.0,1007.1
28/02/2016,01:22:05,28.0,25.6,1007.2
28/02/2016,01:23:04,28.0,26.1,1007.2
28/02/2016,01:24:04,28.1,25.9,1007.2
28/02/2016,01:25:05,28.2,25.9,1007.2
28/02/2016,01:26:04,28.2,25.6,1007.2
28/02/2016,01:27:04,28.0,25.9,1007.1
28/02/2016,01:28:05,28.2,25.5,1007.2
28/02/2016,01:29:04,28.1,25.8,1007.2
28/02/2016,01:30:04,28.2,26.0,1007.3
28/02/2016,01:31:05,28.1,25.8,1007.3
28/02/2016,01:32:04,28.2,25.8,1007.3
28/02/2016,01:33:04,28.2,25.7,1007.4
28/02/2016,01:34:04,28.2,25.9,1007.4
28/02/2016,01:35:04,28.1,25.7,1007.4
28/02/2016,01:36:04,28.2,26.0,1007.4
28/02/2016,01:37:05,28.1,25.5,1007.5
28/02/2016,01:38:04,28.1,25.7,1007.4
28/02/2016,01:39:04,28.0,25.6,1007.5
28/02/2016,01:40:04,28.0,25.6,1007.5
28/02/2016,01:41:04,28.2,25.7,1007.5
28/02/2016,01:42:04,28.1,25.6,1007.5
28/02/2016,01:43:04,28.2,25.7,1007.5
28/02/2016,01:44:04,28.1,26.0,1007.5
28/02/2016,01:45:05,28.1,25.6,1007.5
28/02/2016,01:46:04,28.1,25.6,1007.5
28/02/2016,01:47:04,28.2,25.8,1007.5
28/02/2016,01:48:05,28.1,26.0,1007.5
28/02/2016,01:49:04,28.1,25.5,1007.5
28/02/2016,01:50:04,28.0,25.6,1007.5
28/02/2016,01:51:05,28.1,25.9,1007.5
28/02/2016,01:52:04,28.0,25.9,1007.5
28/02/2016,01:53:04,28.1,25.8,1007.6
28/02/2016,01:54:05,28.0,25.8,1007.5
28/02/2016,01:55:04,28.1,25.6,1007.6
28/02/2016,01:56:04,28.1,25.6,1007.6
28/02/2016,01:57:05,28.0,25.4,1007.6
28/02/2016,01:58:04,28.1,25.9,1007.6
28/02/2016,01:59:04,28.2,25.3,1007.6
28/02/2016,02:00:05,28.2,25.5,1007.7
28/02/2016,02:01:04,28.1,25.7,1007.6
28/02/2016,02:02:04,28.2,25.7,1007.6
28/02/2016,02:03:05,28.1,25.6,1007.6
28/02/2016,02:04:04,28.0,25.6,1007.5
28/02/2016,02:05:04,28.2,25.9,1007.5
28/02/2016,02:06:05,28.0,25.8,1007.6
28/02/2016,02:07:04,28.0,25.6,1007.6
28/02/2016,02:08:04,28.2,25.5,1007.6
28/02/2016,02:09:04,28.2,25.8,1007.6
28/02/2016,02:10:04,28.1,25.4,1007.6
