date,time,temperature,humidity,pressure
28/01/2016,20:36:04,28.8,38.2,1032.7
28/01/2016,20:37:04,28.8,38.2,1032.7
28/01/2016,20:38:05,28.9,38.5,1032.8
28/01/2016,20:39:04,29.0,38.6,1032.7
28/01/2016,20:39:58,28.9,39.5,1032.7
28/01/2016,20:40:04,29.0,38.8,1032.7
28/01/2016,20:41:04,29.0,38.5,1032.7
28/01/2016,20:42:04,29.1,38.1,1032.7
28/01/2016,20:43:04,29.1,38.5,1032.7
28/01/2016,20:44:04,28.9,38.7,1032.6
28/01/2016,20:45:04,28.9,38.7,1032.7
28/01/2016,20:46:04,29.0,38.2,1032.6
28/01/2016,20:47:05,29.2,37.5,1032.7
28/01/2016,20:48:04,29.2,37.6,1032.6
28/01/2016,20:49:04,29.5,37.7,1032.6
28/01/2016,20:50:04,29.4,37.5,1032.6
28/01/2016,20:51:04,29.4,37.0,1032.6
28/01/2016,20:52:04,29.3,37.3,1032.6
28/01/2016,20:53:04,29.3,38.1,1032.6
28/01/2016,20:54:04,29.1,37.7,1032.6
28/01/2016,20:55:04,29.2,37.5,1032.5
28/01/2016,20:56:04,29.2,37.8,1032.5
28/01/2016,20:57:04,29.1,37.8,1032.5
28/01/2016,20:58:04,29.1,37.7,1032.4
28/01/2016,20:59:04,29.1,38.0,1032.4
28/01/2016,21:00:04,29.2,37.7,1032.4
28/01/2016,21:01:04,29.2,37.9,1032.4
28/01/2016,21:02:04,29.2,37.5,1032.4
28/01/2016,21:03:04,29.3,37.4,1032.4
28/01/2016,21:04:04,29.3,37.5,1032.4
28/01/2016,21:05:04,29.2,37.8,1032.4
28/01/2016,21:06:04,29.3,37.2,1032.4
28/01/2016,21:07:05,29.2,37.0,1032.4
28/01/2016,21:08:04,29.2,37.7,1032.3
28/01/2016,21:09:04,29.2,37.5,1032.4
28/01/2016,21:10:05,29.0,37.4,1032.3
28/01/2016,21:11:04,29.0,37.3,1032.4
28/01/2016,21:12:04,28.8,37.9,1032.4
28/01/2016,21:13:05,28.9,38.3,1032.4
28/01/2016,21:14:04,28.9,37.8,1032.4
28/01/2016,21:15:04,28.9,37.0,1032.4
28/01/2016,21:16:05,29.1,37.5,1032.4
28/01/2016,21:17:04,29.3,37.2,1032.4
28/01/2016,21:18:04,29.5,37.0,1032.4
28/01/2016,21:19:05,29.5,36.5,1032.4
28/01/2016,21:20:04,29.6,36.5,1032.4
28/01/2016,21:21:04,29.5,37.3,1032.4
28/01/2016,21:22:05,29.5,36.3,1032.4
28/01/2016,21:23:04,29.5,36.4,1032.4
28/01/2016,21:24:04,29.6,36.3,1032.5
28/01/2016,21:25:05,29.6,36.3,1032.5
28/01/2016,21:26:04,29.6,36.1,1032.5
28/01/2016,21:27:04,29.6,36.3,1032.5
28/01/2016,21:28:04,29.6,35.9,1032.5
28/01/2016,21:29:04,29.6,36.2,1032.5
28/01/2016,21:30:04,29.6,36.0,1032.5
28/01/2016,21:31:04,29.6,35.5,1032.5
28/01/2016,21:32:04,29.8,36.2,1032.5
28/01/2016,21:33:04,29.6,36.0,1032.5
28/01/2016,21:34:04,29.8,35.3,1032.6
28/01/2016,21:35:04,29.7,36.0,1032.5
28/01/2016,21:36:04,29.6,35.9,1032.6
28/01/2016,21:37:04,29.7,35.9,1032.6
28/01/2016,21:38:04,29.6,35.7,1032.7
28/01/2016,21:39:05,29.4,35.9,1032.7
28/01/2016,21:40:04,29.5,35.7,1032.7
28/01/2016,21:41:04,29.6,36.3,1032.7
28/01/2016,21:42:05,29.6,36.2,1032.7
28/01/2016,21:43:04,29.5,36.3,1032.8
28/01/2016,21:44:04,29.5,36.0,1032.8
28/01/2016,21:45:05,29.5,36.1,1032.8
28/01/2016,21:46:04,29.4,36.0,1032.9
28/01/2016,21:47:04,29.1,36.6,1032.9
28/01/2016,21:48:05,29.4,36.3,1032.9
28/01/2016,21:49:04,29.4,36.1,1032.9
28/01/2016,21:50:04,29.4,35.7,1032.9
28/01/2016,21:51:05,29.3,35.9,1032.9
28/01/2016,21:52:04,29.3,35.6,1032.9
28/01/2016,21:53:04,29.3,35.3,1033.0
28/01/2016,21:54:05,29.3,35.7,1033.0
28/01/2016,21:55:04,29.3,35.8,1033.0
28/01/2016,22:23:05,28.9,36.6,1033.4
28/01/2016,22:24:04,28.9,36.7,1033.5
28/01/2016,22:25:04,28.8,36.2,1033.5
28/01/2016,22:26:05,28.8,36.3,1033.5
28/01/2016,22:27:04,28.8,36.6,1033.4
28/01/2016,22:28:04,28.8,36.7,1033.4
28/01/2016,22:29:05,28.8,36.5,1033.4
28/01/2016,22:30:04,28.8,36.1,1033.4
28/01/2016,22:31:04,28.7,36.3,1033.4
28/01/2016,22:32:05,28.7,36.7,1033.4
28/01/2016,22:33:04,28.8,36.7,1033.4
28/01/2016,22:34:04,28.6,36.5,1033.4
28/01/2016,22:35:05,28.7,36.4,1033.4
28/01/2016,22:36:04,28.6,36.7,1033.4
28/01/2016,22:37:04,28.7,36.4,1033.4
28/01/2016,22:38:05,28.6,36.2,1033.4
28/01/2016,22:39:04,28.6,36.7,1033.3
28/01/2016,22:40:04,28.5,36.6,1033.3
28/01/2016,22:41:04,28.6,36.9,1033.3
28/01/2016,22:42:04,28.6,36.2,1033.3
28/01/2016,22:43:04,28.5,36.4,1033.3
28/01/2016,22:44:04,28.4,36.7,1033.3
28/01/2016,22:45:04,28.6,36.4,1033.3
28/01/2016,22:46:04,28.4,36.4,1033.3
28/01/2016,22:47:04,28.4,36.8,1033.3
28/01/2016,22:48:04,28.4,36.3,1033.3
28/01/2016,22:49:05,28.5,36.9,1033.2
28/01/2016,22:50:04,28.4,36.8,1033.2
28/01/2016,22:51:04,28.3,37.1,1033.1
28/01/2016,22:52:05,28.3,36.9,1033.1
28/01/2016,22:53:04,28.4,36.7,1033.2
28/01/2016,22:54:04,28.3,37.1,1033.1
28/01/2016,22:55:05,28.3,36.7,1033.2
28/01/2016,22:56:04,28.3,37.5,1033.2
28/01/2016,22:57:04,28.2,37.0,1033.2
28/01/2016,22:58:05,28.2,37.2,1033.2
28/01/2016,22:59:04,28.2,37.1,1033.3
28/01/2016,23:00:04,28.1,36.8,1033.3
28/01/2016,23:01:05,28.2,36.9,1033.2
28/01/2016,23:02:04,28.1,37.2,1033.3
28/01/2016,23:03:04,28.3,37.2,1033.3
28/01/2016,23:04:05,28.2,37.0,1033.3
28/01/2016,23:05:04,28.2,36.7,1033.3
28/01/2016,23:06:04,28.2,37.1,1033.4
28/01/2016,23:07:05,28.1,37.5,1033.4
28/01/2016,23:08:04,28.1,37.2,1033.4
28/01/2016,23:09:04,28.2,37.0,1033.4
28/01/2016,23:10:04,28.1,37.3,1033.4
28/01/2016,23:11:04,28.1,37.7,1033.4
28/01/2016,23:12:04,28.2,37.3,1033.4
28/01/2016,23:13:04,28.0,37.6,1033.3
28/01/2016,23:14:04,28.1,37.7,1033.3
28/01/2016,23:15:04,28.1,37.6,1033.3
28/01/2016,23:16:04,28.1,37.3,1033.3
