date,time,temperature,humidity
23/01/2016,00:00:03,25.1,41.2
23/01/2016,00:01:04,25.1,41.0
23/01/2016,00:02:03,25.2,41.2
23/01/2016,00:03:03,25.1,41.2
23/01/2016,00:04:04,25.2,41.5
23/01/2016,00:05:03,25.1,41.6
23/01/2016,00:06:03,25.2,41.3
23/01/2016,00:07:04,25.1,41.2
23/01/2016,00:08:03,25.2,41.1
23/01/2016,00:09:03,25.1,41.4
23/01/2016,00:10:03,25.1,41.3
23/01/2016,00:11:03,25.0,41.7
23/01/2016,00:12:03,25.0,41.4
23/01/2016,00:13:03,25.1,41.7
23/01/2016,00:14:03,25.0,41.5
23/01/2016,00:15:03,25.0,41.7
23/01/2016,00:16:03,25.1,42.0
23/01/2016,00:17:03,25.0,41.5
23/01/2016,00:18:03,24.9,41.3
23/01/2016,00:19:03,25.0,41.7
23/01/2016,00:20:03,25.0,41.7
23/01/2016,00:21:04,25.0,41.3
23/01/2016,00:22:03,25.1,41.7
23/01/2016,00:23:03,25.1,41.4
23/01/2016,00:24:04,25.0,41.4
23/01/2016,00:25:03,24.9,41.3
23/01/2016,00:26:03,25.0,41.4
23/01/2016,00:27:04,25.0,40.9
23/01/2016,00:28:03,25.1,41.2
23/01/2016,00:29:03,25.1,41.3
23/01/2016,00:30:04,25.1,41.1
23/01/2016,00:31:03,25.1,41.2
23/01/2016,00:32:03,25.1,41.8
23/01/2016,00:33:03,24.9,41.3
23/01/2016,00:34:03,25.1,41.5
23/01/2016,00:35:03,25.0,41.1
23/01/2016,00:36:03,25.0,41.2
23/01/2016,00:37:03,25.1,41.5
23/01/2016,00:38:03,25.0,41.2
23/01/2016,00:39:03,25.1,41.3
23/01/2016,00:40:03,25.0,41.3
23/01/2016,00:41:04,25.0,41.4
23/01/2016,00:42:03,25.1,41.0
23/01/2016,00:43:03,25.0,41.3
23/01/2016,00:44:04,25.0,41.4
23/01/2016,00:45:03,25.1,41.1
23/01/2016,00:46:03,25.0,41.2
23/01/2016,00:47:04,25.0,40.9
23/01/2016,00:48:03,25.0,40.8
23/01/2016,00:49:03,25.0,41.4
23/01/2016,00:50:03,25.0,41.2
23/01/2016,00:51:03,25.0,41.3
23/01/2016,00:52:04,25.1,41.1
23/01/2016,00:53:03,25.1,41.6
23/01/2016,00:54:03,25.0,41.4
23/01/2016,00:55:04,25.0,41.3
23/01/2016,00:56:03,24.9,41.4
23/01/2016,00:57:03,25.0,41.4
23/01/2016,00:58:04,25.0,41.2
23/01/2016,00:59:03,24.9,41.5
23/01/2016,01:00:03,24.9,41.6
23/01/2016,01:01:04,24.8,41.4
23/01/2016,01:02:03,25.0,41.5
23/01/2016,01:03:03,24.9,41.5
23/01/2016,01:04:03,25.0,41.4
23/01/2016,01:05:03,25.0,41.4
23/01/2016,01:06:03,25.0,41.3
23/01/2016,01:07:03,25.0,41.3
23/01/2016,01:08:03,24.9,41.5
23/01/2016,01:09:04,25.0,41.5
23/01/2016,01:10:03,24.9,41.5
23/01/2016,01:11:03,25.0,41.4
23/01/2016,01:12:04,25.0,41.0
23/01/2016,01:13:03,24.9,41.2
23/01/2016,01:14:03,24.9,41.6
23/01/2016,01:15:04,24.9,41.3
23/01/2016,01:16:03,25.0,40.9
23/01/2016,01:17:03,25.0,41.2
23/01/2016,01:18:03,25.1,41.1
23/01/2016,01:19:03,25.1,40.9
23/01/2016,01:20:03,25.0,41.0
23/01/2016,01:21:03,25.0,41.1
23/01/2016,01:22:03,25.0,40.8
23/01/2016,01:23:03,25.0,41.0
23/01/2016,01:24:03,25.0,41.0
23/01/2016,01:25:03,25.0,40.9
23/01/2016,01:26:03,25.2,40.8
23/01/2016,01:27:03,25.0,41.2
23/01/2016,01:28:03,25.0,41.3
23/01/2016,01:29:03,25.0,41.0
23/01/2016,01:30:03,25.0,41.3
23/01/2016,01:31:03,24.9,41.1
23/01/2016,01:32:03,25.0,41.3
23/01/2016,01:33:03,24.9,41.3
23/01/2016,01:34:03,24.8,40.9
23/01/2016,01:35:04,24.9,41.2
23/01/2016,01:36:03,24.8,41.8
23/01/2016,01:37:03,24.9,41.0
23/01/2016,01:38:04,24.9,41.5
23/01/2016,01:39:03,24.9,41.3
23/01/2016,01:40:03,24.8,41.4
23/01/2016,01:41:04,24.8,41.2
23/01/2016,01:42:03,24.9,41.1
23/01/2016,01:43:03,24.9,41.4
23/01/2016,01:44:03,24.9,41.0
23/01/2016,01:45:03,24.9,41.2
23/01/2016,01:46:03,24.8,41.0
23/01/2016,01:47:03,24.8,41.7
23/01/2016,01:48:03,24.8,41.7
23/01/2016,01:49:03,24.8,41.3
23/01/2016,01:50:03,24.7,41.3
23/01/2016,01:51:03,24.7,41.6
23/01/2016,01:52:04,24.8,41.2
23/01/2016,01:53:03,24.7,41.2
23/01/2016,01:54:03,24.8,41.1
23/01/2016,01:55:04,24.7,41.2
23/01/2016,01:56:03,24.6,41.4
23/01/2016,01:57:03,24.8,41.4
23/01/2016,01:58:04,24.7,41.5
23/01/2016,01:59:03,24.7,41.3
23/01/2016,02:00:03,24.7,41.1
23/01/2016,02:01:03,24.8,41.1
23/01/2016,02:02:03,24.8,41.1
23/01/2016,02:03:03,24.7,41.3
23/01/2016,02:04:03,24.8,41.1
23/01/2016,02:05:03,24.9,41.0
23/01/2016,02:06:03,24.8,40.8
23/01/2016,02:07:03,24.8,41.3
23/01/2016,02:08:03,24.7,40.8
23/01/2016,02:09:04,24.7,41.0
23/01/2016,02:10:03,24.7,40.7
23/01/2016,02:11:03,24.8,41.2
23/01/2016,02:12:04,24.8,41.0
23/01/2016,02:13:03,24.9,41.1
23/01/2016,02:14:03,24.9,41.1
23/01/2016,02:15:04,24.9,40.8
23/01/2016,02:16:03,24.8,41.3
23/01/2016,02:17:03,24.8,41.0
23/01/2016,02:18:04,24.9,41.0
23/01/2016,02:19:03,24.9,40.8
23/01/2016,02:20:03,24.8,40.9
23/01/2016,02:21:03,24.8,40.8
23/01/2016,02:22:03,24.8,41.0
23/01/2016,02:23:03,24.9,40.6
23/01/2016,02:24:03,24.9,40.7
23/01/2016,02:25:03,24.9,40.7
23/01/2016,02:26:04,24.8,40.8
23/01/2016,02:27:03,24.9,40.9
23/01/2016,02:28:03,24.9,41.0
23/01/2016,02:29:04,24.9,41.1
23/01/2016,02:30:03,24.9,40.7
23/01/2016,02:31:03,24.8,41.1
23/01/2016,02:32:04,24.8,40.9
23/01/2016,02:33:03,24.8,41.1
23/01/2016,02:34:03,24.7,41.2
23/01/2016,02:35:04,24.6,41.3
23/01/2016,02:36:03,24.7,41.6
23/01/2016,02:37:03,24.8,41.3
23/01/2016,02:38:04,24.6,40.5
23/01/2016,02:39:03,24.7,40.9
23/01/2016,02:40:03,24.7,41.1
23/01/2016,02:41:04,24.6,40.9
23/01/2016,02:42:03,24.5,41.5
23/01/2016,02:43:03,24.5,41.0
23/01/2016,02:44:04,24.6,41.2
23/01/2016,02:45:03,24.6,41.4
23/01/2016,02:46:03,24.6,41.2
23/01/2016,02:47:04,24.7,41.5
23/01/2016,02:48:03,24.5,41.4
23/01/2016,02:49:03,24.7,41.6
23/01/2016,02:50:04,24.6,41.4
23/01/2016,02:51:03,24.5,41.5
23/01/2016,02:52:03,24.6,41.4
23/01/2016,02:53:03,24.6,41.5
23/01/2016,02:54:03,24.6,41.5
23/01/2016,02:55:03,24.6,41.6
23/01/2016,02:56:03,24.6,41.3
23/01/2016,02:57:03,24.5,41.8
23/01/2016,02:58:03,24.5,41.4
23/01/2016,02:59:03,24.5,41.4
23/01/2016,03:00:03,24.5,41.5
23/01/2016,03:01:03,24.4,41.6
23/01/2016,03:02:03,24.5,41.4
23/01/2016,03:03:03,24.4,41.3
23/01/2016,03:04:03,24.5,41.7
23/01/2016,03:05:03,24.6,41.4
23/01/2016,03:06:03,24.6,41.5
23/01/2016,03:07:03,24.5,41.1
23/01/2016,03:08:03,24.5,41.3
23/01/2016,03:09:03,24.7,41.2
23/01/2016,03:10:04,24.7,41.1
23/01/2016,03:11:03,24.7,41.1
23/01/2016,03:12:03,24.7,41.1
23/01/2016,03:13:04,24.6,41.0
23/01/2016,03:14:03,24.8,41.4
23/01/2016,03:15:03,24.7,41.2
23/01/2016,03:16:04,24.7,41.0
23/01/2016,03:17:03,24.6,41.2
23/01/2016,03:18:03,24.7,41.0
23/01/2016,03:19:04,24.7,41.3
23/01/2016,03:20:03,24.7,41.2
23/01/2016,03:21:03,24.7,40.9
23/01/2016,03:22:04,24.7,41.0
23/01/2016,03:23:03,24.6,41.1
23/01/2016,03:24:03,24.6,41.3
23/01/2016,03:25:03,24.5,40.9
23/01/2016,03:26:03,24.6,41.5
23/01/2016,03:27:03,24.6,41.1
23/01/2016,03:28:03,24.5,41.4
23/01/2016,03:29:03,24.5,41.0
23/01/2016,03:30:03,24.4,41.1
23/01/2016,03:31:03,24.6,41.8
23/01/2016,03:32:03,24.5,41.5
23/01/2016,03:33:04,24.5,41.2
23/01/2016,03:34:03,24.5,41.3
23/01/2016,03:35:03,24.5,41.3
23/01/2016,03:36:04,24.5,41.5
23/01/2016,03:37:03,24.5,41.3
23/01/2016,03:38:03,24.4,41.6
23/01/2016,03:39:04,24.5,41.3
23/01/2016,03:40:03,24.6,41.2
23/01/2016,03:41:03,24.5,41.1
23/01/2016,03:42:03,24.4,41.5
23/01/2016,03:43:03,24.5,41.2
23/01/2016,03:44:03,24.4,41.7
23/01/2016,03:45:03,24.5,41.7
